Title,Description,Author,Link,Image
The New Star Trek Movie Is A Prequel – But Will It Rewrite The Franchise Timeline?,"Will the new Star Trek prequel movie reset the franchise timeline? We try to figure that out right here, and what could happen.",Witney Seibold,https://www.slashfilm.com/1586671/new-star-trek-movie-prequel-franchise-timeline/,https://www.slashfilm.com/img/gallery/the-new-star-trek-movie-is-a-prequel-but-will-it-rewrite-the-franchise-timeline/intro-1716319972.jpg
Deadpool & Wolverine Won't Have A Post-Credits Scene Or Ryan Reynolds Is Trolling Us,Ryan Reynolds claims Deadpool & Wolverine won't have a post-credits scene. Is he just toying with us? Let's discuss.,Joe Roberts,https://www.slashfilm.com/1586231/deadpool-wolverine-wont-have-post-credits-scene-ryan-reynolds-trolling/,https://www.slashfilm.com/img/gallery/deadpool-wolverine-wont-have-a-post-credits-scene-or-ryan-reynolds-is-trolling-us/intro-1716319666.jpg
Scarlett Johansson Lashes Out At The AI Company Copying Her Best Performance,Scarlett Johansson is understandably unhappy about an AI company using what sounds like her voice.,Jeremy Mathai,https://www.slashfilm.com/1586442/scarlett-johansson-ai-company-best-performance-her/,https://www.slashfilm.com/img/gallery/scarlett-johansson-lashes-out-at-the-ai-company-copying-her-best-performance/intro-1716309994.jpg
Dwayne Johnson Looks Unrecognizable In The Smashing Machine First Look,"Dwayne 'The Rock' Johnson is almost unrecognizable in the first look image from A24's The Smashing Machine, also starring Emily Blunt.",Valerie Ettenhofer,https://www.slashfilm.com/1586266/the-smashing-machine-first-look-dwayne-johnson-emily-blunt-benny-safdie-a24/,https://www.slashfilm.com/img/gallery/dwayne-johnson-looks-unrecognizable-in-the-smashing-machine-first-look/intro-1716300031.jpg
The Fall Guy Falls Prey To Hollywood's Biggest Box Office Problem,"The Fall Guy is still in theaters, but Universal has already made it available on VOD. What will this do for the film's overall profits?",Ryan Scott,https://www.slashfilm.com/1586022/the-fall-guy-vod-hollywoods-biggest-box-office-problem/,https://www.slashfilm.com/img/gallery/the-fall-guy-falls-prey-to-hollywoods-biggest-box-office-problem/intro-1716244208.jpg
The Longlegs Trailer Teases What Could Be The Best Horror Movie Of The Year,The Longlegs trailer teases Oz Perkins' much buzzed about horror film starring Maika Monroe and Nicolas Cage as one creepy-sounding serial killer.,Jeremy Mathai,https://www.slashfilm.com/1585664/longlegs-trailer-nicolas-cage-maika-monroe-best-horror-movie-2024/,https://www.slashfilm.com/img/gallery/the-longlegs-trailer-teases-what-could-be-the-best-horror-movie-of-the-year/intro-1716224146.jpg
How To Watch The Fall Guy At Home (With An Extended Cut),Here's how to watch the Ryan Gosling/Emily Blunt action-comedy The Fall Guy at home with an extended cut.,Jeremy Mathai,https://www.slashfilm.com/1585468/how-to-watch-the-fall-guy-at-home-extended-cut-ryan-gosling-emily-blunt/,https://www.slashfilm.com/img/gallery/how-to-watch-the-fall-guy-at-home-with-an-extended-cut/intro-1716213029.jpg
2023's Hollywood Strikes Are Hitting 2024's Summer Box Office Hard,"John Krasinski's IF opens below expectations at the box office, as Hollywood studios continue to feel the pain of 2023's dual actor and writer strikes.",Hannah Shaw-Williams,https://www.slashfilm.com/1584974/2023-summer-box-office-bad-hollywood-strikes/,https://www.slashfilm.com/img/gallery/john-krasinskis-if-wont-save-the-summer-box-office-with-its-30-million-debut/intro-1716044797.jpg
Mad Max Prequel Furiosa Seeks To Top Fury Road At The Box Office,"George Miller's prequel Furiosa is in a strong position to eclipse its predecessor, Mad Max: Fury Road, at the box office.",Ryan Scott,https://www.slashfilm.com/1583953/mad-max-prequel-furiosa-top-fury-road-box-office/,https://www.slashfilm.com/img/gallery/mad-max-prequel-furiosa-seeks-to-top-fury-road-at-the-box-office/intro-1715889516.jpg
"One Studio Exec Knows How To Save The Movies, And You're Going To Love It","Sony's Tom Rothman has an idea for how to save the theatrical film industry, which is in dire need of a shake-up right now: Cheaper ticket prices.",Ryan Scott,https://www.slashfilm.com/1584635/one-studio-exec-knows-how-to-save-the-movies-youre-going-to-love-it/,https://www.slashfilm.com/img/gallery/one-studio-exec-knows-how-to-save-the-movies-and-youre-going-to-love-it/intro-1715971571.jpg
Oscar Winner Cillian Murphy Is Returning To The Horror Franchise That Kickstarted His Career,Oppenheimer star Cillian Murphy is returning to the franchise that launched him into stardom with Danny Boyle's horror sequel 28 Years Later.,Jeremy Mathai,https://www.slashfilm.com/1584570/28-years-later-cillian-murphy-horror-sequel/,https://www.slashfilm.com/img/gallery/oscar-winner-cillian-murphy-is-returning-to-the-horror-franchise-that-kickstarted-his-career/intro-1715968144.jpg
One Of The Best Modern Horror Franchises Is Getting A New Movie Next Summer,Insidious 6 will keep the long-running horror franchise going upon its release in 2025.,Ryan Scott,https://www.slashfilm.com/1584496/insidious-6-happening-horror-franchise-will-continue/,https://www.slashfilm.com/img/gallery/one-of-the-best-modern-horror-franchises-is-getting-a-new-movie-next-summer/intro-1715964320.jpg
